text,true_label,pred_label,confidence
"How do i make best use of commonly bundled programs with XP like :? Netmeeting, Windows Messenger, Netwaiting,Hyperterminal Remote desktop connection, Program compatability wizard, Remote Assistance, Backup, Synchronise.\n\nI have never used these....DO u use  or r there alternatives?",computers & internet,computers & internet,0.540659368
I was trying to play my sims cd when it alerted me I didn't have directx 9.0.... help please!? I checked and found out that I DO HAVE IT and that IT IS THERE IN MY SIMS FILES.... Strange... what can I do?,computers & internet,entertainment & music,0.739975154
"I need HELP with understanding logarithms.  Please show work in this sample problem:? Express in terms of sums and differences of logarithms.\nloga4x^2yz^4\n\nExpress as a single logarithm and, if possible, simplify.\n1/2log s + 5 log q",science & mathematics,education & reference,0.228770807
who will win this year's World Cup in Germany? ,sports,sports,0.963070393
"Lips of an Angel....my cousin??? In the song Lips of an Angel by Hinder...is he really saying....\n\n""my cousin...the next room...sometimes I wish she was you..""\n\nWhat do you hear?, being that they play it every 10 minutes.",entertainment & music,family & relationships,0.434404939
Are those surveys where u get payed real? are those surveys real where you answer questions and get paid,business & finance,business & finance,0.190983176
"If the 9/11 conspiracies are true, as some contend, then why did the government allow people to discover them? If the government is willing to kill 3000 citizens, wouldn't they just kill people exposing their secret?",politics & government,politics & government,0.343273282
Take a wild guess..how many terrorists have the coyotes smuggled over the Mexican border ? not to mention drugs that pollute our younger generations !,politics & government,education & reference,0.237652197
how can i get sponsersship? am looking for one to assist me pay my college fees which has a balance of  ksh.57500.00.,education & reference,education & reference,0.569480717
Is Memory with different speed is a problem? My Qn: is that is it a problem to using two memory moduls with different speed in the sam computer?,computers & internet,computers & internet,0.4224554
"James Bond actor in ""Casino Royale""? ",entertainment & music,education & reference,0.245271713
"i need more help? ok, well i have posted a few questions on help with building a computer, and need anymore advice i can get. What i mainly need to know it if these parts are compatable, and if there is anything i still need to get. i wont be gaming really hardcore on it, probably just WoW and other such games.\n\nRAIDMAX RX-9 SE ATX-911SEB Black SECC Steel ATX Mid Tower Computer Case - Retail\n\n\nWestern Digital Caviar SE16 WD3200KS 320GB 7200 RPM SATA 3.0Gb/s Hard Drive - OEM\n\n\nABIT AN8 32X Socket 939 NVIDIA nForce4 SLI X16 ATX AMD Motherboard - Retail\n\n\neVGA 256-P2-N381 Geforce 6800XT 256MB DDR PCI Express x16 Video Card - Retail\n\n\nSONY Beige IDE CD-ROM Drive Model CDU5225 - OEM\n\nCreative Sound Blaster X-Fi XtremeMusic 7.1 Channels PCI Interface Sound Card - Retail\n\nAntec TruePower 2.0 TP2-550 EPS12V ATX12V 550W Power Supply - Retail\n\nZALMAN CNPS7000B-ALCU 92mm 2 Ball Cooling Fan - Retail\n\nCORSAIR XMS 2GB (2 x 1GB",computers & internet,entertainment & music,0.375171393
erase search items from tool bar? ,computers & internet,computers & internet,0.251316667
